id,round,order,question,question_type,options,likert_levels,correct_answer,is_scored
1101,3,5,在本轮选品过程中，我提高了对跨境电商选品方法和策略的理解。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1102,3,6,在本轮选品过程中，我识别出一些之前未被我注意到的关键考量因素。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1103,3,7,在本轮选品过程中，我重新审视过自己的选品思路，并尝试寻找更优的做法。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1104,3,8,在本轮选品过程中，我回顾了自己的选品方法，并考虑过其它可行的选品方案。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1105,3,9,在本轮选品过程中，我反思过自己的选品流程，以识别哪个/些环节可以改进。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1106,3,10,在本轮选品过程中，我重新评估过自己的选品经验，以便从中学习并改进表现。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1107,3,11,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1108,4,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1109,4,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1110,4,3,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1111,5,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1112,5,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1113,5,3,在本轮选品过程中，我学到了关于跨境电商选品流程的重要知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1114,5,4,在本轮选品过程中，我学到了与跨境电商选品逻辑相关的新知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1115,5,5,在本轮选品过程中，我提高了对跨境电商选品方法和策略的理解。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1116,5,6,在本轮选品过程中，我识别出一些之前未被我注意到的关键考量因素。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1117,5,7,在本轮选品过程中，我重新审视过自己的选品思路，并尝试寻找更优的做法。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1118,5,8,在本轮选品过程中，我回顾了自己的选品方法，并考虑过其它可行的选品方案。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1119,5,9,在本轮选品过程中，我反思过自己的选品流程，以识别哪个/些环节可以改进。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1120,5,10,在本轮选品过程中，我重新评估过自己的选品经验，以便从中学习并改进表现。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1121,5,11,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1122,6,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1123,6,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1124,6,3,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1125,7,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1126,7,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1127,7,3,在本轮选品过程中，我学到了关于跨境电商选品流程的重要知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1128,7,4,在本轮选品过程中，我学到了与跨境电商选品逻辑相关的新知识。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1129,7,5,在本轮选品过程中，我提高了对跨境电商选品方法和策略的理解。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1130,7,6,在本轮选品过程中，我识别出一些之前未被我注意到的关键考量因素。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1131,7,7,在本轮选品过程中，我重新审视过自己的选品思路，并尝试寻找更优的做法。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1132,7,8,在本轮选品过程中，我回顾了自己的选品方法，并考虑过其它可行的选品方案。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1133,7,9,在本轮选品过程中，我反思过自己的选品流程，以识别哪个/些环节可以改进。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1134,7,10,在本轮选品过程中，我重新评估过自己的选品经验，以便从中学习并改进表现。,LIKERT_SCALE,"{""max_label"": ""非常同意"", ""min_label"": ""非常不同意""}",7,,0
1135,7,11,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1136,8,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1137,8,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1138,8,3,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
1139,9,1,您对本轮选品获得较高排名的信心程度？,LIKERT_SCALE,"{""max_label"": ""信心满满"", ""min_label"": ""毫无信心""}",11,,0
1140,9,2,在本轮选品决策中，您在多大程度上依赖于平台提供的工具？,LIKERT_SCALE,"{""max_label"": ""完全依赖"", ""min_label"": ""毫无依赖""}",11,,0
1141,9,3,您预计本轮选品您在平台所有卖家中的积分排名大概是多少？,SINGLE_CHOICE,"[""top10%"", ""10%-20%"", ""30%-40%"", ""40%-50%"", ""50%-60%"", ""60%-70%"", ""70%-80%"", ""80%-90%"", ""90%-100%""]",,,0
